energy,diameter,dfec_lynch
20,156.692759295,130.405113415
20,157.025440313,122.965066502
20,157.358121331,118.363016852
20,157.690802348,116.382517048
20,158.023483366,116.577055461
20,158.356164384,118.434292448
20,158.688845401,121.683951999
20,159.021526419,126.143217153
20,159.354207436,131.674881427
20,159.686888454,138.170387966
20,160.019569472,145.535556475
20,160.352250489,153.383101581
20,160.684931507,161.180443236
20,161.017612524,168.600281883
20,161.350293542,175.38868234
20,161.68297456,181.088162446
20,162.015655577,185.028696721
20,162.348336595,186.766807204
20,162.681017613,185.953080357
20,163.01369863,183.248658342
20,163.346379648,180.319554767
20,163.679060665,178.048862116
20,164.011741683,177.047573178
20,164.344422701,177.624463977
20,164.677103718,179.683852888
20,165.009784736,183.270163386
20,165.342465753,188.469205311
20,165.675146771,195.215281689
20,166.007827789,203.111856429
20,166.340508806,211.950598721
20,166.673189824,221.603777722
20,167.005870841,231.89872616
20,167.338551859,242.522633566
20,167.671232877,253.271808428
20,168.003913894,263.994004142
20,168.336594912,274.563851152
20,168.66927593,284.806378576
20,169.001956947,294.180562442
20,169.334637965,302.266335568
20,169.667318982,308.564291137
20,170.0,312.512172898
21,0.332681017613,305.773738283
21,0.665362035225,614.49670962
21,0.998043052838,922.530939404
21,1.33072407045,1230.39886588
21,1.66340508806,1538.21105595
21,1.99608610568,1845.99264765
21,2.32876712329,2153.75331465
21,2.6614481409,2461.5033296
21,2.99412915851,2767.24485087
21,3.32681017613,3023.06765016
21,3.65949119374,3204.91358635
21,3.99217221135,3325.87469776
21,4.32485322896,3400.83850862
21,4.65753424658,3441.88678839
21,4.99021526419,3458.12512947
21,5.3228962818,3456.26761421
21,5.65557729941,3441.24119553
21,5.98825831703,3416.66871688
21,6.32093933464,3385.22568724
21,6.65362035225,3348.89839702
21,6.98630136986,3309.16905573
21,7.31898238748,3267.14850289
21,7.65166340509,3223.67211738
21,7.9843444227,3179.36956732
21,8.31702544031,3134.71575703
21,8.64970645793,3090.06847416
21,8.98238747554,3045.69644443
21,9.31506849315,3001.80026722
21,9.64774951076,2958.52821643
21,9.98043052838,2915.98828655
21,10.313111546,2874.257353
21,10.6457925636,2833.38820269
21,10.9784735812,2793.41499253
21,11.3111545988,2754.3574621
21,11.6438356164,2716.22420677
21,11.9765166341,2679.01524982
21,12.3091976517,2642.72405001
21,12.6418786693,2607.33908214
21,12.9745596869,2572.84508289
21,13.3072407045,2539.22401815
21,13.6399217221,2506.45586262
21,13.9726027397,2474.51922045
21,14.3052837573,2443.39178464
21,14.637964775,2413.05071238
21,14.9706457926,2383.47294165
21,15.3033268102,2354.63540963
21,15.6360078278,2326.51522146
21,15.9686888454,2299.08980163
21,16.301369863,2272.33698849
21,16.6340508806,2246.23511048
21,16.9667318982,2220.76306143
21,17.2994129159,2195.90031576
21,17.6320939335,2171.62694432
21,17.9647749511,2147.92367384
21,18.2974559687,2124.77187554
21,18.6301369863,2102.1535223
21,18.9628180039,2080.05123146
21,19.2954990215,2058.44826662
21,19.6281800391,2037.32847443
21,19.9608610568,2016.67632778
21,20.2935420744,1996.405437
21,20.626223092,1973.32929456
21,20.9589041096,1943.36782305
21,21.2915851272,1904.68909535
21,21.6242661448,1856.2658579
21,21.9569471624,1797.50749259
21,22.28962818,1728.1019567
21,22.6223091977,1647.92738999
21,22.9549902153,1556.99598983
21,23.2876712329,1457.10289931
21,23.6203522505,1359.39348765
21,23.9530332681,1267.18332759
21,24.2857142857,1182.39569299
21,24.6183953033,1106.44504697
21,24.9510763209,1040.32272687
21,25.2837573386,984.710030441
21,25.6164383562,940.057881595
21,25.9491193738,906.643175457
21,26.2818003914,883.561286094
21,26.614481409,867.526535876
21,26.9471624266,856.754358212
21,27.2798434442,850.144166075
21,27.6125244618,846.903469924
21,27.9452054795,846.426550274
21,28.2778864971,848.234343741
21,28.6105675147,851.939311093
21,28.9432485323,857.222904239
21,29.2759295499,863.820161567
21,29.6086105675,871.508636223
21,29.9412915851,880.100212077
21,30.2739726027,889.434910092
21,30.6066536204,899.376054568
21,30.939334638,908.732508508
21,31.2720156556,912.232161707
21,31.6046966732,906.625135533
21,31.9373776908,890.036174643
21,32.2700587084,861.192432079
21,32.602739726,819.197822214
21,32.9354207436,765.844572741
21,33.2681017613,710.264932853
21,33.6007827789,657.699323547
21,33.9334637965,611.24433921
21,34.2661448141,573.059274396
21,34.5988258317,544.729034963
21,34.9315068493,527.100139321
21,35.2641878669,517.264723084
21,35.5968688845,512.662587169
21,35.9295499022,512.057379522
21,36.2622309198,514.636775567
21,36.5949119374,519.81155783
21,36.927592955,527.13096947
21,37.2602739726,536.238152322
21,37.5929549902,546.843710944
21,37.9256360078,558.708723638
21,38.2583170254,571.633215447
21,38.5909980431,585.447987926
21,38.9236790607,600.008637703
21,39.2563600783,615.191039414
21,39.5890410959,630.887887232
21,39.9217221135,647.005971222
21,40.2544031311,663.463994275
21,40.5870841487,680.190830903
21,40.9197651663,697.124085701
21,41.252446184,714.208904256
21,41.5851272016,731.396977736
21,41.9178082192,748.645716104
